FOr,FOr
asmoche,asmuch
as,as
it,it
is,is
often,often
seen,seen
the,the
mannys,man's
reason,reason
wherby,whereby
he,he
shulde,should
decern,decern
the,the
good,good
from,from
the,the
euyl,evil
and,and
the,the
right,right
from,from
the,the
wronge,wrong
is,is
many,many
tymes,times
by,by
seduction,seduction
of,of
the,the
deuyl,devil
worldly,worldly
couetise,covetise
and,and
sensual,sensual
appetites,appetites
repressed,repressed
and,and
vanquysshed,vanquysshed
wheruppon,whereupon
comunely,commonly
ensuen,ensuen
discordes,discords
murdres,murdres
robbries,robberies
diuisions,divisions
disobeissance,disobeissance
to,to
soueraignes,sovereigns
subuersion,subversion
of,of
royalmes,royalmes
and,and
distruction,destruction
of,of
people,people
soo,so
that,that
where,where
thies,these
reigne,reign
victorye,victory
in,in
tym,time
of,of
warre,war
and,and
iustice,justice
in,in
tyme,time
of,of
be,be
vtterly,utterly
dampned,dampened
and,and
exiled,exiled
Therfore,Therefore
Emperoures,Emperors
princes,princes
and,and
gouernours,governors
of,of
tyme,time
past,passed
for,for
refrainynge,refraining
of,of
suche,such
inordinat,inordinate
appetites,appetites
and,and
punysshement,punishment
of,of
thoes,thoes
folnes,folnes
whiche,which
rather,rather
eychue,eychue
to,to
offende,offend
for,for
fere,fere
of,of
bodily,bodily
peyn,pain
or,or
losses,losses
of,of
godes,gods
then,then
for,for
the,the
loue,love
of,of
god,god
or,or
iustice,justice
ful,full
wisely,wisely
and,and
polletiquely,polletiquely
ordeyned,ordained
diuerse,diverse
lawes,laws
servyng,serving
to,to
the,the
same,same
purpos,purpose
aswele,aswele
in,in
tym,time
of,of
war,war
as,as
peas,peace
Semblabely,Semblabely
oure,our
soueraigne,sovereign
lorde,lord
Henry,Henry
of,of
this,this
name,name
vn,un
by,by
the,the
grace,grace
of,of
god,god
kinge,king
of,of
Englonde,England
and,and
of,of
Fraunce,France
and,and
lorde,lord
of,of
Irlande,Irlande
entendynge,intending
by,by
the,the
same,same
grace,grace
with,with
af,of
goodly,goodly
spede,speed
to,to
passe,pass
the,the
see,see
in,in
his,his
owne,own
persone,person
with,with
an,an
armye,army
and,and
asse,ass
for,for
the,the
repressinge,repressing
of,of
the,the
greate,great
tiranny,tyranny
of,of
the,the
frenshmen,frenshmen
nowe,now
lately,lately
doon,done
and,and
yet,yet
of,of
newe,new
purpensed,purpensed
determyned,determined
and,and
prepaired,prepared
to,to
be,be
doon,done
to,to
the,the
manifest,manifest
daungier,danger
of,of
his,his
royalme,royalme
of,of
Englonde,England
subgetes,subgetes
of,of
the,the
same,same
onlesse,unless
the,the
saide,said
frenshmen,frenshmen
be,be
the,the
soner,sooner
and,and
mightiliar,mightiliar
withstonde,withstand
recountred,recountered
considereth,considereth
wele,weal
that,that
for,for
the,the
greate,great
suretie,surety
of,of
his,his
saide,said
ofte,oft
and,and
th,th
achieuynge,achieving
of,of
his,his
