AN,AN
ACT,ACT
For,For
preventing,preventing
Injuries,Injuries
and,and
Wrongs,Wrongs
done,done
to,to
MERCHANTS,MERCHANTS
at,at
Sea,Sea
In,In
their,their
Persons,Persons
Ships,Ships
or,or
Goods,Goods
And,And
prohibiting,prohibiting
Mariners,Mariners
from,from
serving,serving
under,under
Forraign,Foreign
Princes,Princes
or,or
States,States
without,without
License,Licence
Die,Die
Sabbathi,Sabbathi
Aprilis,Aprilis
ORdered,ORdered
by,by
the,the
Parliament,Parliament
That,That
this,this
Act,Act
be,be
forthwith,forthwith
printed,printed
and,and
published,published
Scobell,Scobell
Cleric,Cleric
Parliamenti,Parliamenti
London,London
Printed,Printed
by,by
Edward,Edward
Husband,Husband
and,and
Iohn,john
Field,Field
Printers,Printers
to,to
the,the
Parliament,Parliament
of,of
England,England
AN,AN
ACT,ACT
For,For
preventing,preventing
Injuries,Injuries
and,and
Wrongs,Wrongs
done,done
to,to
Merchants,Merchants
at,at
Sea,Sea
In,In
their,their
Persons,Persons
Ships,Ships
or,or
Goods,Goods
And,And
prohibiting,prohibiting
Mariners,Mariners
from,from
serving,serving
under,under
Forraign,Foreign
Princes,Princes
or,or
States,States
without,without
License,Licence
WHereas,Whereas
since,since
the,the
late,late
Act,Act
made,made
the,the
Five,Five
and,and
twentieth,twentieth
of,of
June,June
One,One
thousand,thousand
six,six
hundred,hundred
forty,forty
nine,nine
entituled,entitled
An,An
Act,Act
touching,touching
Letters,Letters
of,of
Mart,Mart
The,The
Parliament,Parliament
having,having
received,received
Information,Information
That,That
divers,divers
French,French
Ships,Ships
and,and
others,others
of,of
Forraign,Foreign
Nations,Nations
have,have
taken,taken
upon,upon
them,them
de,de
facto,facto
to,to
visit,visit
the,the
said,said
English,English
Ships,Ships
and,and
to,to
make,make
search,search
what,what
goods,goods
they,they
carried,carried
and,and
under,under
colour,colour
thereof,thereof
have,have
spoiled,spoiled
divers,divers
of,of
their,their
Ships,Ships
and,and
seized,seized
others,others
and,and
committed,committed
several,several
wrongs,wrongs
and,and
abuses,abuses
to,to
the,the
great,great
damage,damage
of,of
the,the
good,good
People,People
of,of
this,this
Commonwealth,Commonwealth
For,For
remedy,remedy
whereof,whereof
and,and
for,for
the,the
better,better
enabling,enabling
the,the
Merchants,Merchants
to,to
preserve,preserve
their,their
Ships,Ships
and,and
Goods,Goods
against,against
such,such
Wrongs,Wrongs
and,and
Injuries,Injuries
for,for
the,the
future,future
Be,Be
it,it
Enacted,Enacted
and,and
Ordained,Ordained
by,by
this,this
present,present
Parliament,Parliament
and,and
by,by
the,the
Authority,Authority
of,of
the,the
same,same
That,That
the,the
Councel,Council
of,of
State,State
for,for
the,the
time,time
being,being
established,established
by,by
Parliament,Parliament
shall,shall
have,have
full,full
and,and
absolute,absolute
power,power
and,and
are,are
hereby,hereby
authorized,authorized
and,and
enabled,enabled
not,not
onely,only
to,to
hear,hear
and,and
examine,examine
all,all
Petitions,Petitions
and,and
Complaints,Complaints
of,of
this,this
nature,nature
and,and
thereupon,thereupon
and,and
upon,upon
consideration,consideration
of,of
the,the
circumstances,circumstances
of,of
the,the
case,case
and,and
observations,observations
of,of
such,such
solemnities,solemnities
specified,specified
in,in
the,the
said,said
former,former
Act,Act
of,of
the,the
Five,Five
and,and
twentieth,twentieth
of,of
June,June
to,to
grant,grant
and,and
give,give
Warrant,Warrant
for,for
special,special
and,and
particular,particular
Letters,Letters
of,of
Mart,Mart
to,to
the,the
parties,parties
injured,injured
and,and
damnified,damnified
in,in
this,this
kinde,kind
in,in
such,such
sort,sort
and,and
maner,manner
as,as
they,they
are,are
enabled,enabled
to,to
grant,grant
in,in
any,any
other,other
case,case
by,by
that,that
said,said
former,former
Act,Act
But,But
also,also
to,to
grant,grant
and,and
give,give
Warrant,Warrant
for,for
and,and
cause,cause
to,to
be,be
issued,issued
out,out
under,under
the,the
Seal,Seal
of,of
the,the
Court,Court
of,of
Admiralty,Admiralty
in,in
the,the
Name,Name
of,of
the,the
Keepers,Keepers
of,of
the,the
Liberty,Liberty
of,of
England,England
established,established
by,by
Parliament,Parliament
special,special
and,and
particular,particular
Commissions,Commissions
to,to
all,all
or,or
any,any
such,such
Merchants,Merchant's
Ships,Ships
or,or
other,other
English,English
Ships,Ships
as,as
the,the
said,said
Councel,Council
of,of
State,State
shall,shall
finde,find
meet,meet
to,to
enable,enable
them,them
and,and
give,give
them,them
free,free
License,Licence
and,and
Authority,Authority
not,not
onely,only
to,to
deny,deny
and,and
make,make
defence,defence
against,against
any,any
such,such
visitation,visitation
or,or
commands,commands
to,to
be,be
visited,visited
by,by
any,any
such,such
French,French
or,or
other,other
Forraign,Foreign
Ships,Ships
for,for
the,the
time,time
to,to
come,come
but,but
also,also
as,as
they,they
may,may
finde,find
opportunity,opportunity
to,to
fight,fight
with,with
surprize,surprise
and,and
take,take
all,all
and,and
every,every
such,such
French,French
Ships,Ships
or,or
Vessels,Vessels
and,and
other,other
Forraign,Foreign
Ships,Ships
together,together
with,with
all,all
the,the
Ordnance,Ordnance
Ammunition,Ammunition
Tackle,Tackle
Furniture,Furniture
Goods,Goods
Wares,Wares
and,and
Merchandizes,Merchandizes
found,found
in,in
or,or
belonging,belonging
to,to
the,the
same,same
that,that
shall,shall
so,so
require,require
or,or
command,command
them,them
to,to
be,be
visited,visited
or,or
attempt,attempt
to,to
spoil,spoil
annoy,annoy
molest,molest
disturb,disturb
or,or
hinder,hinder
them,them
in,in
their,their
trading,trading
or,or
merchandizing,merchandizing
voyages,voyages
under,under
colour,colour
of,of
such,such
undue,undue
visitation,visitation
Provided,Provided
always,always
That,That
if,if
they,they
shall,shall
happen,happen
so,so
to,to
surprize,surprise
or,or
take,take
any,any
such,such
French,French
Ships,Ships
or,or
Forraign,Foreign
Vessels,Vessels
as,as
aforesaid,aforesaid
That,That
after,after
the,the
said,said
Surprizal,Surprisal
Fight,Fight
ended,ended
they,they
shall,shall
not,not
kill,kill
or,or
slay,slay
any,any
of,of
the,the
persons,persons
therein,therein
taken,taken
nor,nor
commit,commit
any,any
man-slaughter,manslaughter
in,in
cold,cold
blood,blood
but,but
shal,shall
use,use
them,them
civilly,civilly
only,only
restraining,restraining
and,and
detaining,detaining
them,them
as,as
Prisoners,Prisoners
if,if
they,they
may,may
without,without
prejudice,prejudice
to,to
their,their
Ship,Ship
or,or
their,their
voyages,voyages
to,to
be,be
sent,sent
over,over
into,into
England,England
to,to
be,be
proceeded,proceeded
against,against
or,or
disposed,disposed
of,of
as,as
the,the
Councel,Council
of,of
State,State
shall,shall
advise,advise
otherwise,otherwise
if,if
they,they
shall,shall
finde,find
it,it
hazardous,hazardous
or,or
damageable,damageable
so,so
to,to
do,do
Then,Then
to,to
set,set
them,them
on,on
shore,shore
where,where
they,they
may,may
have,have
opportunity,opportunity
so,so
always,always
that,that
they,they
retain,retain
three,three
at,at
the,the
least,least
of,of
the,the
principal,principal
that,that
shall,shall
be,be
taken,taken
to,to
be,be
brought,brought
or,or
sent,sent
into,into
England,England
and,and
examined,examined
in,in
the,the
Admiralty,Admiralty
Court,Court
upon,upon
all,all
such,such
questions,questions
as,as
shall,shall
in,in
that,that
Court,Court
be,be
thought,thought
fit,fit
for,for
the,the
discovering,discovering
the,the
truth,truth
of,of
the,the
matter,matter
how,how
and,and
in,in
what,what
sort,sort
the,the
said,said
Forraign,Foreign
Ships,Ships
did,did
first,first
require,require
or,or
attempt,attempt
to,to
fight,fight
with,with
the,the
English,English
or,or
command,command
them,them
to,to
suffer,suffer
themselves,themselves
to,to
be,be
visited,visited
or,or
what,what
other,other
injuries,injuries
or,or
abuses,abuses
they,they
offered,offered
them,them
with,with
all,all
other,other
circumstances,circumstances
requisite,requisite
in,in
the,the
case,case
And,And
provided,provided
further,further
That,That
the,the
Takers,Takers
shall,shall
be,be
obliged,obliged
to,to
proceed,proceed
in,in
the,the
Court,Court
of,of
Admiralty,Admiralty
of,of
England,England
against,against
all,all
Ships,Ships
and,and
Goods,Goods
so,so
taken,taken
and,and
bring,bring
the,the
same,same
to,to
Iudgement,judgement
according,according
to,to
the,the
course,course
of,of
that,that
Court,Court
and,and
if,if
it,it
shall,shall
be,be
duly,duly
proved,proved
and,and
made,made
appear,appear
that,that
they,they
were,were
taken,taken
by,by
reason,reason
of,of
their,their
undue,undue
commitment,commitment
of,of
any,any
of,of
the,the
particulars,particulars
before,before
recited,recited
mentioned,mentioned
and,and
provided,provided
against,against
in,in
and,and
by,by
this,this
Act,Act
That,That
then,then
and,and
in,in
that,that
case,case
the,the
Iudges,judges
of,of
the,the
said,said
Court,Court
shall,shall
give,give
Iudgement,judgement
that,that
the,the
same,same
were,were
lawfully,lawfully
taken,taken
and,and
that,that
the,the
same,same
were,were
and,and
are,are
lawful,lawful
Prizes,Prizes
to,to
the,the
Owners,Owners
and,and
Captain,Captain
or,or
Master,Master
and,and
Marriners,Mariners
of,of
the,the
Ship,Ship
or,or
Ships,Ships
takers,takers
whereof,whereof
two,two
thirds,thirds
to,to
be,be
to,to
the,the
Owners,Owners
in,in
respect,respect
of,of
their,their
extraordinary,extraordinary
charge,charge
to,to
Arm,Arm
and,and
Man,Man
their,their
Ships,Ships
in,in
an,an
extraordinary,extraordinary
maner,manner
for,for
this,this
occasion,occasion
and,and
the,the
other,other
third,third
to,to
be,be
to,to
the,the
Master,Master
and,and
Marriners,Mariners
to,to
be,be
shared,shared
amongst,amongst
them,them
according,according
to,to
custom,custom
of,of
the,the
Sea,Sea
in,in
such,such
case,case
Provided,Provided
also,also
That,That
the,the
Tenths,Tenths
of,of
all,all
such,such
Prizes,Prizes
or,or
the,the
true,true
and,and
full,full
value,value
thereof,thereof
without,without
deduction,deduction
shall,shall
be,be
duly,duly
paid,paid
to,to
the,the
Collectors,Collectors
of,of
Prize-Goods,prize-good
to,to
be,be
disposed,disposed
of,of
by,by
the,the
Councel,Council
of,of
State,State
as,as
they,they
shall,shall
see,see
cause,cause
for,for
the,the
use,use
of,of
the,the
Commonwealth,Commonwealth
And,And
provided,provided
further,further
That,That
for,for
every,every
such,such
Commission,Commission
before,before
the,the
same,same
issue,issue
forth,forth
under,under
the,the
Seal,Seal
security,security
shall,shall
be,be
taken,taken
with,with
Securities,Securities
by,by
Recognizance,Recognizance
in,in
the,the
Admiralty,Admiralty
Court,Court
in,in
the,the
sum,sum
of,of
Two,Two
thousand,thousand
pounds,pounds
not,not
to,to
harm,harm
or,or
prejudice,prejudice
the,the
Merchants,Merchants
or,or
good,good
People,People
of,of
this,this
Commonwealth,Commonwealth
or,or
any,any
of,of
the,the
Friends,Friends
or,or
Allies,Allies
of,of
this,this
Nation,Nation
in,in
any,any
other,other
case,case
then,then
in,in
the,the
cases,cases
before,before
recited,recited
mentioned,mentioned
and,and
provided,provided
against,against
in,in
and,and
by,by
this,this
Act,Act
and,and
likewise,likewise
to,to
observe,observe
and,and
follow,follow
all,all
such,such
other,other
Clauses,Clauses
Instructions,Instructions
and,and
things,things
as,as
the,the
Councel,Council
of,of
State,State
shall,shall
at,at
the,the
time,time
of,of
giving,giving
Warrant,Warrant
for,for
any,any
such,such
Commission,Commission
think,think
meet,meet
and,and
order,order
or,or
appoint,appoint
And,And
whereas,whereas
divers,divers
English,English
Marriners,Mariners
and,and
Seamen,Seamen
have,have
of,of
late,late
time,time
served,served
in,in
the,the
Ships,Ships
of,of
Forraign,Foreign
Princes,Princes
and,and
in,in
Forraign,Foreign
Vessels,Vessels
contrary,contrary
to,to
the,the
Laws,Laws
and,and
Statutes,Statutes
of,of
this,this
Nation,Nation
and,and
therein,therein
done,done
dis-service,dis-service
to,to
and,and
against,against
the,the
English,English
Merchants,Merchants
Be,Be
it,it
Enacted,Enacted
That,That
all,all
English,English
Marriners,Mariners
and,and
Seamen,Seamen
that,that
are,are
now,now
serving,serving
abroad,abroad
in,in
the,the
Service,Service
of,of
any,any
Forraign,Foreign
Prince,Prince
or,or
State,State
shall,shall
within,within
the,the
space,space
of,of
four,four
Moneths,Month's
next,next
ensuing,ensuing
withdraw,withdraw
themselves,themselves
